stage,statement,approval_level,budget,statement_cost,generator_name,num_covered_agents,num_remaining_agents,agent_utilities,covered_agent_ids,remaining_agent_ids,covered_agent_data,utility_distribution
generate,"Parents should absolutely have the right to choose the best school for their kids, regardless of where they live. It’s ridiculous that district lines dictate a child’s future when there are better options available. Families, especially low-income ones, deserve access to quality education, whether it’s public, private, or charter. School choice empowers parents to make decisions that fit their child’s needs, and funding should follow the student, not the system. Let’s prioritize kids over bureaucracy!",5.5,80,75,TagNNGenerator__approval_None__budget_None__cluster_size_20,,,"{161: 1.967675793926685, 277: 0.3777494583008284, 842: 3.006095949598766, 1200: 3.54848657297957e-05, 411: 0.0007289934835414957, 188: 4.5184881886563515, 1432: 1.0191601822306826, 282: 2.1427916911591485, 301: 0.754245202854863, 198: 0.00020376182888282024, 329: 4.167208553475558, 85: 9.812441732071076e-05, 1001: 0.8188687445869199, 1314: 1.1927854592919118e-08, 1344: 1.1880680949664835, 1464: 0.6544202940461741, 189: 0.50671731484557, 1457: 0.5729547417759755, 1123: 0.44068077157339136, 1068: 3.0821027841021476e-07, 820: 0.07831626999211583, 1158: 0.0019411991244040472, 1542: 1.4068911092790515e-06, 1465: 1.5424170523543177, 1649: 0.894839784906744, 1654: 0.0007166151617811201, 1505: 0.0009129969872102572, 1371: 5.859297965271626e-05, 314: 0.8854023154374273, 67: 0.666358322218007, 1356: 1.0001857630849846, 1516: 3.8536054830989035, 1132: 3.171693697238693, 1534: 5.6882492752873555, 646: 0.22386056688940292, 1047: 0.8511707391843001, 1010: 0.9436368371031859, 274: 0.9459501557203788, 746: 0.018029016224651695, 493: 0.09620904349720183, 323: 0.07647207473403395}",,,,"{0: 41.0, 1: 12.0, 2: 7.0, 3: 6.0, 3.5: 4.0, 4: 3.0, 4.5: 2.0, 5: 1.0, 5.5: 1.0}"
generate,"Bowling Green desperately needs to expand internet access for residents. It’s ridiculous that in 2023, so many areas still have slow or no service while surrounding counties are ahead. BGMU should step up and offer residential fiber internet as a utility, like Chattanooga has done successfully. Reliable, high-speed internet isn’t a luxury—it’s a necessity for education, work, and daily life. The city must prioritize this to keep up with growth and ensure everyone has equal access to modern infrastructure.",5.5,80,79,PreviousBestGenerator__approval_None__budget_None__cluster_size_-1,,,"{277: 1.3922287688564052, 842: 1.1828694439102574, 161: 2.2904589554942887, 1200: 0.0007101165718911284, 411: 4.103572847258263e-05, 188: 0.4410966635774555, 1432: 5.126697697247316, 198: 0.11947128076577718, 282: 0.012490962220919832, 301: 0.008600546923186791, 329: 0.9046503089292228, 1344: 0.09556920514250455, 85: 0.06020848686892932, 1001: 4.223710749025505, 1314: 2.0721611093676984e-09, 1464: 0.06890972131666318, 189: 4.434174401260009, 1457: 0.0019765736877208617, 1123: 0.7795345181075708, 1068: 2.396467149168302e-07, 820: 5.932482482091174, 1158: 9.63352636914605e-05, 1542: 0.0007111670004402715, 1465: 0.26674708808032754, 1649: 4.165270793474807, 1654: 5.87452229610097e-05, 1505: 0.9341149499702318, 1371: 0.017995733437363937, 67: 4.47450503564495, 1356: 0.9780867566590076, 1516: 0.7410459674661162, 1132: 0.9367987211739199, 1534: 0.38382254880974565, 314: 1.4042567465601064, 646: 0.017994640070896906, 1047: 4.2942316538658725, 1010: 0.9856699666639765, 274: 1.8188255961972635, 746: 0.2691723371718988, 323: 4.055128308015375, 493: 0.0015021377554216286}",,,,"{0: 41.0, 1: 13.0, 2: 9.0, 3: 8.0, 3.5: 8.0, 4: 8.0, 4.5: 2.0, 5: 2.0, 5.5: 1.0}"
generate,"It’s ridiculous that in 2023, a third of Warren County still struggles with slow or no internet while surrounding counties enjoy high-speed access. Internet is no longer a luxury—it’s a necessity for work, education, and daily life. BGMU should step up and offer residential fiber internet as a public utility, like Chattanooga has done. Reliable, affordable internet should be a basic service for everyone, not a privilege for a few. Let’s stop lagging behind and make this happen now.",5.5,80,79,ClosestClusterGenerator__approval_None__budget_None__cluster_size_20,,,"{161: 3.3213003365008777, 277: 1.929536084514106, 842: 1.669160216840209, 1200: 0.022993252021343058, 411: 0.011193226322071093, 188: 0.8237699629233491, 1432: 4.6555571973720395, 198: 0.006695598767894939, 282: 0.06863107178557548, 301: 0.11936377715504265, 329: 0.7777652062871008, 85: 0.018004045708065464, 1344: 0.9594193118087407, 1001: 4.186049210758121, 1314: 1.2790441072940695e-07, 1464: 0.22535680209884656, 189: 4.261856738463608, 1457: 0.3838164797388971, 1123: 1.2118060181861705, 1068: 1.0720474465930607e-06, 820: 5.747982126647727, 1158: 0.0003375778724342693, 1542: 0.0019326568002934197, 1465: 0.2239918177777882, 1649: 4.048987570074444, 1654: 0.0019327955817559639, 1505: 0.7792656563567519, 1371: 0.43803152061209105, 314: 2.4249042205375875, 67: 4.400472172494975, 1356: 1.0019353861506146, 1516: 2.2369563599042563, 1132: 0.8275093274994937, 646: 0.005222041444454151, 1047: 4.2906859118683585, 1010: 0.6227143897922773, 274: 1.5423256115203907, 1534: 1.5716659786082634, 746: 0.8818195556948901, 323: 3.0240337713179843, 493: 0.18282513509893727}",,,,"{0: 41.0, 1: 17.0, 2: 11.0, 3: 9.0, 3.5: 7.0, 4: 7.0, 4.5: 2.0, 5: 1.0, 5.5: 1.0}"
generate,"Bowling Green desperately needs to address its traffic issues—it's out of control for a city this size. We need smarter solutions like roundabouts at problem spots like Fairview Ave by Kereiakes Park, fewer traffic lights, and real bypasses to ease congestion. Stop wasting money on frivolous projects like fountains and focus on building better roads and infrastructure. Residents deserve efficient, safe traffic flow, and the city should prioritize this over cosmetic upgrades or poorly planned developments.",5.5,80,76,WeightedNNGenerator__approval_None__budget_None__cluster_size_20,,,"{277: 1.163967548086548, 161: 0.7340211432267734, 842: 0.3212566730071844, 1200: 0.26923781892641196, 411: 3.1739165456160485, 188: 0.0002618197449821835, 1432: 0.5693108870193347, 198: 3.4381110085295363, 282: 0.001154882339408747, 301: 3.0488499093109205, 329: 0.04743898502605837, 85: 3.202031672602395, 1344: 0.0031749010857584636, 1001: 0.928249701620518, 1314: 5.32991353274781e-08, 1464: 0.00033754048431344774, 189: 0.01118439216842293, 1457: 7.926294412041734e-06, 1123: 0.0024771975118442757, 1068: 0.3778814981328601, 1158: 1.3541934120572554, 820: 0.22490881825383957, 1542: 3.2220008209335185, 1465: 0.029670083557609916, 1649: 1.115988704127191, 1654: 4.810268050642663, 1505: 3.0517435536632567, 1371: 3.7081355328082775, 314: 1.015521040284309, 67: 0.029426895622951532, 1356: 3.5402042495302766e-05, 1516: 0.27257065327838836, 1132: 0.07590800563754041, 1534: 0.00033729750640287826, 646: 3.209544803586482, 1047: 0.022991039138102964, 1010: 5.3812871453582165, 274: 0.7812506427453393, 746: 3.1030126687627826, 493: 4.337637630202214, 323: 1.81129723546717}",,,,"{0: 41.0, 1: 17.0, 2: 12.0, 3: 12.0, 3.5: 4.0, 4: 3.0, 4.5: 2.0, 5: 1.0}"
generate,"Bowling Green’s internet situation is absolutely unacceptable in 2023. How is it that surrounding counties have widespread high-speed internet, yet so many residents here are stuck with slow or nonexistent service? BGMU should step up and offer residential fiber internet as a utility—Chattanooga has proven it works. Internet access isn’t a luxury anymore, it’s a necessity. It’s time to prioritize expanding this infrastructure, especially in growing areas like Alvaton, and make sure every corner of the county is connected.",5.5,80,79,WeightedNNGenerator__approval_None__budget_None__cluster_size_20,,,"{161: 1.5666959332279333, 277: 0.5088998404449425, 842: 0.9930604105238836, 1200: 0.00033569182639625605, 411: 4.918161463418613e-06, 188: 0.06038838755777931, 1432: 4.694960661091023, 198: 0.02933461862341613, 282: 0.0007349082125297501, 301: 0.02941347402413419, 329: 0.014076016067049446, 85: 0.014084033283229047, 1344: 0.0007107030160519168, 1001: 4.19623553020806, 1314: 2.5164660355514457e-08, 1464: 0.06802831918708563, 189: 4.2269632743472005, 1457: 0.0005580930452721011, 1123: 0.15084576603333222, 1068: 1.0197727262073464e-05, 820: 5.840138535874033, 1158: 2.151217712276221e-05, 1542: 0.0009120857739455257, 1465: 0.023302460258454838, 1649: 4.662997617612042, 1654: 9.640404941912983e-05, 1505: 0.8210705923773123, 1371: 0.01799130468586463, 314: 0.7880410276689171, 67: 4.504147130584265, 1356: 0.047523678629214694, 1516: 0.42252321138131865, 1132: 0.11993485632254752, 1534: 0.018418629425818178, 646: 0.0230107293428623, 1047: 3.910651784182262, 274: 0.22788179012335197, 1010: 0.5018815864373883, 493: 0.07601282797384623, 323: 4.4059764770597685, 746: 0.11941345522994062}",,,,"{0: 41.0, 1: 9.0, 2: 8.0, 3: 8.0, 3.5: 8.0, 4: 7.0, 4.5: 4.0, 5: 1.0, 5.5: 1.0}"
generate,"Bowling Green’s traffic issues are out of control, and it’s time for real solutions. We need smarter infrastructure—traffic lights at problem intersections like Shive Lane and Cave Mill, roundabouts where they make sense, and stricter enforcement of traffic laws. Police should crack down on reckless drivers, expired tags, and illegal parking. Stop signs and red lights aren’t optional! Let’s prioritize safety and flow over convenience. If we don’t act now, the gridlock and accidents will only get worse.",5.5,80,78,TagNNGenerator__approval_None__budget_None__cluster_size_20,,,"{161: 0.5752554028958876, 277: 1.3220026679642358, 842: 0.27011286757791253, 1200: 0.0005530081320316294, 411: 4.172855371628536, 188: 0.0040908325441347815, 1432: 0.5665585930264255, 198: 2.141347334729425, 282: 0.0002725824618600159, 301: 0.9816904467770443, 329: 0.014074374562594194, 85: 3.2043998625188026, 1344: 0.011009992488915099, 1001: 0.5626256698358477, 1314: 8.773049842147884e-08, 1464: 0.023328772017876087, 189: 0.037772493363781745, 1457: 5.8377492110350815e-05, 1123: 0.5635618671828295, 1068: 2.362885331267595, 1158: 3.197136149531886, 1542: 2.686747974549146, 1465: 0.037515210788995224, 1649: 1.1831581384978123, 1654: 3.709909002975488, 820: 0.4420066658544751, 1505: 3.304477359994322, 1371: 1.2149155532858256, 314: 0.7348845077244702, 67: 0.0007102944954732182, 1356: 0.0230101335044538, 1516: 0.5790734392256144, 1132: 0.037373330724775555, 1534: 0.03772117202894443, 646: 5.653376743869858, 1047: 0.02298469827391536, 1010: 2.044283554030753, 274: 0.32216556057800316, 746: 2.110925237693479, 493: 2.8325479984952198, 323: 2.1993238850880044}",,,,"{0: 41.0, 1: 16.0, 2: 13.0, 3: 6.0, 3.5: 3.0, 4: 2.0, 4.5: 1.0, 5: 1.0, 5.5: 1.0}"
generate,"Bowling Green desperately needs to prioritize people over cars. Walking should feel safe and enjoyable, not like a gamble with your life. Enforcing parking regulations and addressing reckless driving, like running red lights, is non-negotiable. Traffic congestion at key intersections is a nightmare, and the lack of proper planning is glaring. We need smarter, people-focused urban design that values safety and community over speed and convenience for vehicles. It's time to slow the cars and reclaim our streets for everyone.",5.5,80,80,ClosestClusterGenerator__approval_None__budget_None__cluster_size_20,,,"{277: 5.844476798694842, 161: 1.0741260976826048, 842: 0.14813984345183284, 1200: 0.26900695731988045, 188: 0.02300300915115594, 1432: 0.12058629588321934, 198: 1.09490753933272, 411: 4.238821033945934, 282: 0.003471359500667348, 329: 0.6795661550103063, 85: 2.1055471758759166, 1344: 0.010997895813255831, 1001: 0.22278156414017947, 1314: 2.1033362651579068e-07, 1464: 0.23253146286652082, 189: 0.8428764558368375, 1457: 0.004088219911309254, 1123: 1.0313748292433158, 1068: 1.1990751897365786, 820: 0.14973852930989617, 301: 0.679340000047146, 1158: 1.3001039200053415, 1542: 3.6414800294260026, 1465: 0.023174339335994998, 1649: 0.8176046644409203, 1654: 2.015041496685778, 1505: 2.0303056057788513, 1371: 1.2292844503864107, 314: 1.7310847726856395, 67: 0.005238320154242859, 1516: 2.009259425072937, 1356: 0.07595303907033746, 1132: 0.06019458145441936, 646: 2.0849047342233953, 1534: 0.09581704866541463, 1047: 0.06009030493810508, 1010: 2.2975560542981555e-06, 274: 2.956066165086998, 746: 1.8218779343176836, 493: 0.679854553922373, 323: 1.1868966380878592}",,,,"{0: 41.0, 1: 18.0, 2: 9.0, 3: 3.0, 3.5: 3.0, 4: 2.0, 4.5: 1.0, 5: 1.0, 5.5: 1.0}"
generate,"Bowling Green desperately needs a real plan to improve traffic flow—it's a mess, plain and simple. Drivers running red lights, poorly designed intersections, no left-turn lanes where we clearly need them—it's chaos. The city can't keep approving new developments without ensuring roads and infrastructure can handle the growth. How about more stoplights where they’re needed, better enforcement of traffic laws, and maybe even a roundabout or two? Ignoring this is just asking for more accidents and frustration.",5.5,80,77,PreviousBestGenerator__approval_None__budget_None__cluster_size_-1,,,"{277: 1.2144415312857297, 161: 0.44550815714782066, 842: 0.8843725077752708, 1200: 0.01800445945177187, 411: 4.609111153470449, 188: 0.0002620102170847183, 1432: 0.3240926460330108, 282: 0.0011192204560881436, 301: 1.050019837005371, 198: 3.5472685860406026, 329: 0.01800180332362067, 85: 3.5773613188264326, 1344: 0.0007107179188609036, 1001: 0.8546368292233661, 1314: 2.394562446106363e-07, 189: 0.02358045275943388, 1457: 6.172774776769252e-06, 1123: 0.12252849748922201, 1464: 0.00200959624094299, 1068: 0.6834914657372604, 820: 0.18624236696068897, 1158: 3.436385821183648, 1542: 4.0178228431819765, 1649: 1.742329289854872, 1465: 0.005295222108738229, 1654: 4.733827839482773, 1505: 3.5359965080736293, 1371: 1.3321223653049374, 314: 0.8988561307035267, 67: 0.004090863546090118, 1356: 7.494265863683403e-05, 1516: 0.060646398207644614, 1132: 0.03743873163547262, 1534: 0.0019430260335204785, 646: 5.47916794932214, 1047: 0.04749353740957063, 1010: 4.357467124399502, 274: 0.302684757912261, 746: 3.1788238124488783, 493: 3.02847436264742, 323: 4.496225307660978}",,,,"{0: 41.0, 1: 16.0, 2: 12.0, 3: 12.0, 3.5: 9.0, 4: 6.0, 4.5: 3.0, 5: 1.0}"
nominate_best,"Parents should absolutely have the right to choose the best school for their kids, regardless of where they live. It’s ridiculous that district lines dictate a child’s future when there are better options available. Families, especially low-income ones, deserve access to quality education, whether it’s public, private, or charter. School choice empowers parents to make decisions that fit their child’s needs, and funding should follow the student, not the system. Let’s prioritize kids over bureaucracy!",5.5,80,75,TagNNGenerator__approval_None__budget_None__cluster_size_20,,,"{161: 1.967675793926685, 277: 0.3777494583008284, 842: 3.006095949598766, 1200: 3.54848657297957e-05, 411: 0.0007289934835414957, 188: 4.5184881886563515, 1432: 1.0191601822306826, 282: 2.1427916911591485, 301: 0.754245202854863, 198: 0.00020376182888282024, 329: 4.167208553475558, 85: 9.812441732071076e-05, 1001: 0.8188687445869199, 1314: 1.1927854592919118e-08, 1344: 1.1880680949664835, 1464: 0.6544202940461741, 189: 0.50671731484557, 1457: 0.5729547417759755, 1123: 0.44068077157339136, 1068: 3.0821027841021476e-07, 820: 0.07831626999211583, 1158: 0.0019411991244040472, 1542: 1.4068911092790515e-06, 1465: 1.5424170523543177, 1649: 0.894839784906744, 1654: 0.0007166151617811201, 1505: 0.0009129969872102572, 1371: 5.859297965271626e-05, 314: 0.8854023154374273, 67: 0.666358322218007, 1356: 1.0001857630849846, 1516: 3.8536054830989035, 1132: 3.171693697238693, 1534: 5.6882492752873555, 646: 0.22386056688940292, 1047: 0.8511707391843001, 1010: 0.9436368371031859, 274: 0.9459501557203788, 746: 0.018029016224651695, 493: 0.09620904349720183, 323: 0.07647207473403395}",,,,
generate,"I firmly believe every family, regardless of income, deserves access to quality education through school choice. It’s not fair that only wealthy families can afford better options. Public charter schools and other non-public choices should be viable for everyone, leveling the playing field and giving every child a real shot at success. Education shouldn’t depend on your zip code.",5.5,60,59,PreviousBestGenerator__approval_None__budget_None__cluster_size_-1,,,"{161: 3.039446435788882, 277: 0.6260665636045171, 1200: 3.543327634092375e-05, 842: 2.2637226585906016, 411: 6.0086195897923744e-05, 188: 4.341328993779127, 1432: 1.1106278099952793, 198: 5.847098024469588e-05, 282: 1.9681836822224916, 301: 0.28571709425168323, 329: 3.659270863030242, 85: 6.586385947748852e-07, 1344: 1.050068985128325, 1001: 0.6805708899843719, 1314: 4.2036178427018456e-08, 1464: 1.8683042331779212, 189: 1.0657550136098037, 1457: 0.7118065987663406, 1123: 0.3249988343102834, 1158: 1.3151771403152601e-05, 1542: 5.082346787865788e-07, 1465: 2.300671730841212, 1649: 0.5016739717658238, 820: 0.03773955974491172, 1068: 1.7754418392135207e-06, 1654: 5.811275971545626e-07, 1505: 0.00026148962384675567, 1371: 2.2708294724615996e-06, 67: 0.07623333627968809, 314: 0.9939706078492149, 1356: 1.0585038595122445, 1132: 1.8613630157194816, 1516: 2.6209261213636115, 1534: 5.999951425320402, 646: 0.004076852147020693, 1047: 0.8937867762272517, 1010: 0.8989054572292374, 274: 1.2315533890341248, 746: 0.004076775705864066, 493: 0.002485182258323171, 323: 0.011030214202618738}",,,,"{0: 41.0, 1: 15.0, 2: 7.0, 3: 4.0, 3.5: 3.0, 4: 2.0, 4.5: 1.0, 5: 1.0, 5.5: 1.0}"
