statement,approval_level,budget,statement_cost,num_covered_agents,num_remaining_agents,covered_agent_ids,remaining_agent_ids,covered_agent_labels,remaining_agent_labels
This birth control is a nightmare—severe side effects outweigh any benefits. Avoid it at all costs.,5.5,16,16,8,72,"['user72801', 'user14718', 'user16271', 'user15728', 'user15669', 'user15118', 'user73238', 'user15440']","['user16006', 'user16393', 'user74439', 'user14869', 'user15069', 'user15072', 'user73352', 'user72912', 'user15986', 'user73385', 'user72640', 'user72878', 'user14707', 'user72646', 'user73073', 'user16022', 'user73592', 'user15316', 'user73522', 'user14949', 'user16572', 'user16075', 'user15317', 'user74214', 'user73050', 'user15685', 'user74286', 'user15826', 'user16350', 'user16624', 'user74472', 'user14765', 'user14976', 'user16273', 'user73920', 'user16107', 'user74130', 'user73219', 'user15786', 'user73673', 'user73307', 'user74099', 'user15771', 'user16579', 'user15395', 'user73559', 'user74595', 'user74243', 'user74129', 'user15911', 'user16205', 'user16002', 'user15872', 'user74345', 'user14958', 'user16296', 'user73001', 'user73430', 'user72695', 'user15875', 'user74000', 'user15253', 'user15559', 'user15214', 'user15483', 'user73964', 'user73535', 'user74061', 'user74016', 'user16552', 'user73836', 'user72829']","['user72801 : 1', 'user14718 : 1', 'user16271 : 1', 'user15728 : 1', 'user15669 : 2', 'user15118 : 1', 'user73238 : 3', 'user15440 : 3']","[2, 2, 5, 5, 5, 1, 7, 6, 4, 5, 5, 9, 8, 9, 9, 1, 7, 8, 8, 6, 5, 3, 7, 10, 10, 2, 8, 2, 2, 1, 4, 8, 5, 4, 6, 4, 7, 6, 6, 3, 10, 4, 10, 10, 6, 8, 5, 9, 9, 6, 4, 3, 10, 4, 9, 7, 8, 2, 3, 8, 9, 4, 7, 10, 2, 9, 7, 6, 10, 7, 3, 3]"
"This birth control is worth sticking with; initial side effects fade, and benefits are undeniable!",5.5,16,15,8,64,"['user15771', 'user73522', 'user73307', 'user15872', 'user16296', 'user15214', 'user74016', 'user73964']","['user16006', 'user16393', 'user74439', 'user14869', 'user15069', 'user15072', 'user73352', 'user72912', 'user15986', 'user73385', 'user72640', 'user72878', 'user14707', 'user72646', 'user73073', 'user16022', 'user73592', 'user15316', 'user14949', 'user16572', 'user16075', 'user15317', 'user74214', 'user73050', 'user15685', 'user74286', 'user15826', 'user16350', 'user16624', 'user74472', 'user14765', 'user14976', 'user16273', 'user73920', 'user16107', 'user74130', 'user73219', 'user15786', 'user73673', 'user74099', 'user16579', 'user15395', 'user73559', 'user74595', 'user74243', 'user74129', 'user15911', 'user16205', 'user16002', 'user74345', 'user14958', 'user73001', 'user73430', 'user72695', 'user15875', 'user74000', 'user15253', 'user15559', 'user15483', 'user73535', 'user74061', 'user16552', 'user73836', 'user72829']","['user15771 : 10', 'user73522 : 8', 'user73307 : 10', 'user15872 : 10', 'user16296 : 7', 'user15214 : 10', 'user74016 : 10', 'user73964 : 9']","[2, 2, 5, 5, 5, 1, 7, 6, 4, 5, 5, 9, 8, 9, 9, 1, 7, 8, 6, 5, 3, 7, 10, 10, 2, 8, 2, 2, 1, 4, 8, 5, 4, 6, 4, 7, 6, 6, 3, 4, 10, 6, 8, 5, 9, 9, 6, 4, 3, 4, 9, 8, 2, 3, 8, 9, 4, 7, 2, 7, 6, 7, 3, 3]"
This pill wreaks havoc on your body and emotions.,5.5,10,9,5,59,"['user16205', 'user16350', 'user16022', 'user15685', 'user72695']","['user16006', 'user16393', 'user74439', 'user14869', 'user15069', 'user15072', 'user73352', 'user72912', 'user15986', 'user73385', 'user72640', 'user72878', 'user14707', 'user72646', 'user73073', 'user73592', 'user15316', 'user14949', 'user16572', 'user16075', 'user15317', 'user74214', 'user73050', 'user74286', 'user15826', 'user16624', 'user74472', 'user14765', 'user14976', 'user16273', 'user73920', 'user16107', 'user74130', 'user73219', 'user15786', 'user73673', 'user74099', 'user16579', 'user15395', 'user73559', 'user74595', 'user74243', 'user74129', 'user15911', 'user16002', 'user74345', 'user14958', 'user73001', 'user73430', 'user15875', 'user74000', 'user15253', 'user15559', 'user15483', 'user73535', 'user74061', 'user16552', 'user73836', 'user72829']","['user16205 : 4', 'user16350 : 2', 'user16022 : 1', 'user15685 : 2', 'user72695 : 3']","[2, 2, 5, 5, 5, 1, 7, 6, 4, 5, 5, 9, 8, 9, 9, 7, 8, 6, 5, 3, 7, 10, 10, 8, 2, 1, 4, 8, 5, 4, 6, 4, 7, 6, 6, 3, 4, 10, 6, 8, 5, 9, 9, 6, 3, 4, 9, 8, 2, 8, 9, 4, 7, 2, 7, 6, 7, 3, 3]"
"This birth control wreaks havoc on emotions, skin, and weight.",5.5,10,10,5,54,"['user74439', 'user16393', 'user16002', 'user16075', 'user16273']","['user16006', 'user14869', 'user15069', 'user15072', 'user73352', 'user72912', 'user15986', 'user73385', 'user72640', 'user72878', 'user14707', 'user72646', 'user73073', 'user73592', 'user15316', 'user14949', 'user16572', 'user15317', 'user74214', 'user73050', 'user74286', 'user15826', 'user16624', 'user74472', 'user14765', 'user14976', 'user73920', 'user16107', 'user74130', 'user73219', 'user15786', 'user73673', 'user74099', 'user16579', 'user15395', 'user73559', 'user74595', 'user74243', 'user74129', 'user15911', 'user74345', 'user14958', 'user73001', 'user73430', 'user15875', 'user74000', 'user15253', 'user15559', 'user15483', 'user73535', 'user74061', 'user16552', 'user73836', 'user72829']","['user74439 : 5', 'user16393 : 2', 'user16002 : 3', 'user16075 : 3', 'user16273 : 4']","[2, 5, 5, 1, 7, 6, 4, 5, 5, 9, 8, 9, 9, 7, 8, 6, 5, 7, 10, 10, 8, 2, 1, 4, 8, 5, 6, 4, 7, 6, 6, 3, 4, 10, 6, 8, 5, 9, 9, 6, 4, 9, 8, 2, 8, 9, 4, 7, 2, 7, 6, 7, 3, 3]"
These pills cause more harm than good; I’m switching.,5,10,9,5,49,"['user16006', 'user74595', 'user72829', 'user73836', 'user74099']","['user14869', 'user15069', 'user15072', 'user73352', 'user72912', 'user15986', 'user73385', 'user72640', 'user72878', 'user14707', 'user72646', 'user73073', 'user73592', 'user15316', 'user14949', 'user16572', 'user15317', 'user74214', 'user73050', 'user74286', 'user15826', 'user16624', 'user74472', 'user14765', 'user14976', 'user73920', 'user16107', 'user74130', 'user73219', 'user15786', 'user73673', 'user16579', 'user15395', 'user73559', 'user74243', 'user74129', 'user15911', 'user74345', 'user14958', 'user73001', 'user73430', 'user15875', 'user74000', 'user15253', 'user15559', 'user15483', 'user73535', 'user74061', 'user16552']","['user16006 : 2', 'user74595 : 5', 'user72829 : 3', 'user73836 : 3', 'user74099 : 4']","[5, 5, 1, 7, 6, 4, 5, 5, 9, 8, 9, 9, 7, 8, 6, 5, 7, 10, 10, 8, 2, 1, 4, 8, 5, 6, 4, 7, 6, 6, 3, 10, 6, 8, 9, 9, 6, 4, 9, 8, 2, 8, 9, 4, 7, 2, 7, 6, 7]"
"This birth control is misery in a pill, avoid it.",5,10,10,5,44,"['user16107', 'user15826', 'user15072', 'user16624', 'user15483']","['user14869', 'user15069', 'user73352', 'user72912', 'user15986', 'user73385', 'user72640', 'user72878', 'user14707', 'user72646', 'user73073', 'user73592', 'user15316', 'user14949', 'user16572', 'user15317', 'user74214', 'user73050', 'user74286', 'user74472', 'user14765', 'user14976', 'user73920', 'user74130', 'user73219', 'user15786', 'user73673', 'user16579', 'user15395', 'user73559', 'user74243', 'user74129', 'user15911', 'user74345', 'user14958', 'user73001', 'user73430', 'user15875', 'user74000', 'user15253', 'user15559', 'user73535', 'user74061', 'user16552']","['user16107 : 4', 'user15826 : 2', 'user15072 : 1', 'user16624 : 1', 'user15483 : 2']","[5, 5, 7, 6, 4, 5, 5, 9, 8, 9, 9, 7, 8, 6, 5, 7, 10, 10, 8, 4, 8, 5, 6, 7, 6, 6, 3, 10, 6, 8, 9, 9, 6, 4, 9, 8, 2, 8, 9, 4, 7, 7, 6, 7]"
"This pill is life-changing—clear skin, lighter periods, and boosted confidence outweigh mild, manageable side effects!",4.5,16,15,8,36,"['user72878', 'user73073', 'user73050', 'user72646', 'user73559', 'user74000', 'user74243', 'user73001']","['user14869', 'user15069', 'user73352', 'user72912', 'user15986', 'user73385', 'user72640', 'user14707', 'user73592', 'user15316', 'user14949', 'user16572', 'user15317', 'user74214', 'user74286', 'user74472', 'user14765', 'user14976', 'user73920', 'user74130', 'user73219', 'user15786', 'user73673', 'user16579', 'user15395', 'user74129', 'user15911', 'user74345', 'user14958', 'user73430', 'user15875', 'user15253', 'user15559', 'user73535', 'user74061', 'user16552']","['user72878 : 9', 'user73073 : 9', 'user73050 : 10', 'user72646 : 9', 'user73559 : 8', 'user74000 : 9', 'user74243 : 9', 'user73001 : 8']","[5, 5, 7, 6, 4, 5, 5, 8, 7, 8, 6, 5, 7, 10, 8, 4, 8, 5, 6, 7, 6, 6, 3, 10, 6, 9, 6, 4, 9, 2, 8, 4, 7, 7, 6, 7]"
This pill works well after initial side effects settle down.,4.5,10,10,5,31,"['user14765', 'user15069', 'user73592', 'user74214', 'user14707']","['user14869', 'user73352', 'user72912', 'user15986', 'user73385', 'user72640', 'user15316', 'user14949', 'user16572', 'user15317', 'user74286', 'user74472', 'user14976', 'user73920', 'user74130', 'user73219', 'user15786', 'user73673', 'user16579', 'user15395', 'user74129', 'user15911', 'user74345', 'user14958', 'user73430', 'user15875', 'user15253', 'user15559', 'user73535', 'user74061', 'user16552']","['user14765 : 8', 'user15069 : 5', 'user73592 : 7', 'user74214 : 10', 'user14707 : 8']","[5, 7, 6, 4, 5, 5, 8, 6, 5, 7, 8, 4, 5, 6, 7, 6, 6, 3, 10, 6, 9, 6, 4, 9, 2, 8, 4, 7, 7, 6, 7]"
"These pills mess with mood, weight, and overall wellbeing.",4.5,10,9,5,26,"['user15395', 'user74345', 'user73673', 'user74472', 'user74061']","['user14869', 'user73352', 'user72912', 'user15986', 'user73385', 'user72640', 'user15316', 'user14949', 'user16572', 'user15317', 'user74286', 'user14976', 'user73920', 'user74130', 'user73219', 'user15786', 'user16579', 'user74129', 'user15911', 'user14958', 'user73430', 'user15875', 'user15253', 'user15559', 'user73535', 'user16552']","['user15395 : 6', 'user74345 : 4', 'user73673 : 3', 'user74472 : 4', 'user74061 : 6']","[5, 7, 6, 4, 5, 5, 8, 6, 5, 7, 8, 5, 6, 7, 6, 6, 10, 9, 6, 9, 2, 8, 4, 7, 7, 7]"
"This birth control works, but the side effects can be frustrating!",3.5,12,11,6,20,"['user14958', 'user73535', 'user14869', 'user74129', 'user15559', 'user14949']","['user73352', 'user72912', 'user15986', 'user73385', 'user72640', 'user15316', 'user16572', 'user15317', 'user74286', 'user14976', 'user73920', 'user74130', 'user73219', 'user15786', 'user16579', 'user15911', 'user73430', 'user15875', 'user15253', 'user16552']","['user14958 : 9', 'user73535 : 7', 'user14869 : 5', 'user74129 : 9', 'user15559 : 7', 'user14949 : 6']","[7, 6, 4, 5, 5, 8, 5, 7, 8, 5, 6, 7, 6, 6, 10, 6, 2, 8, 4, 7]"
